"104","204513"
"111","415320"
"107","023451"
"101","301425"
"102","241503"
"103","412305"
"105","421530"
"106","241053"
"108","203415"
"109","312045"
"110","201534"
"116","531024"
"112","342501"
"117","251430"
"113","350124"
"119","452031"
"114","523014"
"115","230541"
"122","512034"
"120","153402"
"118","152403"
"121","542013"
"123","032541"
"124","435012"
"128","031254"
"125","304512"
"126","035124"
"127","052341"
"129","145023"
"130","532014"
"131","532140"
"132","325140"
"134","402315"
"133","430215"
"135","354120"
"137","532410"
"136","435012"
"138","014325"
"139","130254"
"140","534021"
"141","350142"
