"F6Y5XwsjuD8oR4W7ivoQ","10852","pan right","press","0","0","null",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"75"
"F6Y5XwsjuD8oR4W7ivoQ","10979","pan right","release","-0.08","0","null",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"75"
"F6Y5XwsjuD8oR4W7ivoQ","11485","pan right","press","-0.08","0","null",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"75"
"F6Y5XwsjuD8oR4W7ivoQ","13555","pan right","release","-1.31","0","null",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"75"
"F6Y5XwsjuD8oR4W7ivoQ","14213","zoom in","press","-1.31","0","null",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"75"
"F6Y5XwsjuD8oR4W7ivoQ","15155","zoom in","release","-1.31","0","null",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","17161","Land Vehicle","press","-1.31","0","Land Vehicle",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","17962","Land Vehicle","release","-1.31","0","Land Vehicle","60","60","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","19243","resize new tag","press","-1.31","0","Land Vehicle","584","419","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","19580","resize new tag","release","-1.31","0","Land Vehicle","538","359","211","240",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","20193","submit new tag","press","-1.31","0","Land Vehicle",NULL,NULL,"211","240","1.95289","-0.0674819","-0.265607","0.434948","0.49371","42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","23505","A Tree","press","-1.31","0","A Tree",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","23835","A Tree","release","-1.31","0","A Tree","584","419","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","28658","Floating Object","press","-1.31","0","Floating Object",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","29456","Floating Object","release","-1.31","0","Floating Object","400","317","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","30764","move new tag","press","-1.31","0","Floating Object","497","276","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","31034","move new tag","release","-1.31","0","Floating Object","497","84","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","34569","submit new tag","press","-1.31","0","Floating Object",NULL,NULL,"120","120","1.90105","0.489325","-0.338127","0.25149","0.235325","42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","35062","Land Vehicle","press","-1.31","0","Land Vehicle",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","35814","Land Vehicle","release","-1.31","0","Land Vehicle","497","276","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","38165","submit new tag","press","-1.31","0","Land Vehicle",NULL,NULL,"120","120","1.6888","0.507784","-0.929395","0.237722","0.208836","42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","38806","Construction Machine","press","-1.31","0","Construction Machine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","39544","Construction Machine","press","-1.31","0","Construction Machine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","40288","Construction Machine","release","-1.31","0","Construction Machine","183","67","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","42304","submit new tag","press","-1.31","0","Construction Machine",NULL,NULL,"120","120","1.92066","0.53046","0.000661197","0.237528","0.235419","42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","43526","Floating Object","press","-1.31","0","Floating Object",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","44167","Floating Object","press","-1.31","0","Floating Object",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","44846","Floating Object","press","-1.31","0","Floating Object",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","45466","Floating Object","release","-1.31","0","Floating Object","669","55","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","46562","move new tag","press","-1.31","0","Floating Object","535","45","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","47437","move new tag","release","-1.31","0","Floating Object","710","621","120","120",NULL,NULL,NULL,NULL,NULL,"42.7201"
"F6Y5XwsjuD8oR4W7ivoQ","48201","submit new tag","press","-1.31","0","Floating Object",NULL,NULL,"120","120","1.90834","-0.571131","0.0736537","0.229475","0.194446","42.7201"
