groupID,playerID,choiceID,var,rank,time,condition
1,1,1,myTags,6,167060,collaboration
1,1,1,othersTags,4,167060,collaboration
1,1,1,allTags,6,167060,collaboration
1,1,1,myTime,6,167060,collaboration
1,1,1,othersTime,4,167060,collaboration
1,1,1,allTime,6,167060,collaboration
1,1,2,myTags,6,327211,collaboration
1,1,2,othersTags,1,327211,collaboration
1,1,2,allTags,6,327211,collaboration
1,1,2,myTime,5,327211,collaboration
1,1,2,othersTime,1,327211,collaboration
1,1,2,allTime,5,327211,collaboration
1,1,3,myTags,6,564616,collaboration
1,1,3,othersTags,1,564616,collaboration
1,1,3,allTags,6,564616,collaboration
1,1,3,myTime,6,564616,collaboration
1,1,3,othersTime,2,564616,collaboration
1,1,3,allTime,5,564616,collaboration
1,2,1,myTags,6,53950,collaboration
1,2,1,othersTags,6,53950,collaboration
1,2,1,allTags,6,53950,collaboration
1,2,1,myTime,6,53950,collaboration
1,2,1,othersTime,6,53950,collaboration
1,2,1,allTime,6,53950,collaboration
1,2,2,myTags,6,135027,collaboration
1,2,2,othersTags,1,135027,collaboration
1,2,2,allTags,4,135027,collaboration
1,2,2,myTime,6,135027,collaboration
1,2,2,othersTime,1,135027,collaboration
1,2,2,allTime,4,135027,collaboration
1,2,3,myTags,4,178068,collaboration
1,2,3,othersTags,1,178068,collaboration
1,2,3,allTags,3,178068,collaboration
1,2,3,myTime,4,178068,collaboration
1,2,3,othersTime,4,178068,collaboration
1,2,3,allTime,3,178068,collaboration
1,2,4,myTags,3,218099,collaboration
1,2,4,othersTags,1,218099,collaboration
1,2,4,allTags,1,218099,collaboration
1,2,4,myTime,3,218099,collaboration
1,2,4,othersTime,1,218099,collaboration
1,2,4,allTime,2,218099,collaboration
1,2,5,myTags,2,269150,collaboration
1,2,5,othersTags,4,269150,collaboration
1,2,5,allTags,5,269150,collaboration
1,2,5,myTime,4,269150,collaboration
1,2,5,othersTime,4,269150,collaboration
1,2,5,allTime,4,269150,collaboration
1,2,6,myTags,6,362282,collaboration
1,2,6,othersTags,2,362282,collaboration
1,2,6,allTags,4,362282,collaboration
1,2,6,myTime,6,362282,collaboration
1,2,6,othersTime,1,362282,collaboration
1,2,6,allTime,4,362282,collaboration
1,2,7,myTags,4,396352,collaboration
1,2,7,othersTags,5,396352,collaboration
1,2,7,allTags,5,396352,collaboration
1,2,7,myTime,4,396352,collaboration
1,2,7,othersTime,6,396352,collaboration
1,2,7,allTime,6,396352,collaboration
1,2,8,myTags,3,495513,collaboration
1,2,8,othersTags,3,495513,collaboration
1,2,8,allTags,2,495513,collaboration
1,2,8,myTime,5,495513,collaboration
1,2,8,othersTime,3,495513,collaboration
1,2,8,allTime,3,495513,collaboration
1,3,1,myTags,1,17914,collaboration
1,3,1,othersTags,1,17914,collaboration
1,3,1,allTags,1,17914,collaboration
1,3,1,myTime,6,17914,collaboration
1,3,1,othersTime,6,17914,collaboration
1,3,1,allTime,6,17914,collaboration
1,3,2,myTags,6,145035,collaboration
1,3,2,othersTags,1,145035,collaboration
1,3,2,allTags,5,145035,collaboration
1,3,2,myTime,6,145035,collaboration
1,3,2,othersTime,1,145035,collaboration
1,3,2,allTime,5,145035,collaboration
1,3,3,myTags,1,190074,collaboration
1,3,3,othersTags,4,190074,collaboration
1,3,3,allTags,3,190074,collaboration
1,3,3,myTime,5,190074,collaboration
1,3,3,othersTime,4,190074,collaboration
1,3,3,allTime,3,190074,collaboration
1,3,4,myTags,5,281159,collaboration
1,3,4,othersTags,4,281159,collaboration
1,3,4,allTags,4,281159,collaboration
1,3,4,myTime,5,281159,collaboration
1,3,4,othersTime,4,281159,collaboration
1,3,4,allTime,5,281159,collaboration
1,3,5,myTags,1,303182,collaboration
1,3,5,othersTags,2,303182,collaboration
1,3,5,allTags,1,303182,collaboration
1,3,5,myTime,4,303182,collaboration
1,3,5,othersTime,2,303182,collaboration
1,3,5,allTime,2,303182,collaboration
1,3,6,myTags,4,424396,collaboration
1,3,6,othersTags,3,424396,collaboration
1,3,6,allTags,4,424396,collaboration
1,3,6,myTime,5,424396,collaboration
1,3,6,othersTime,3,424396,collaboration
1,3,6,allTime,6,424396,collaboration
1,3,7,myTags,4,455433,collaboration
1,3,7,othersTags,2,455433,collaboration
1,3,7,allTags,1,455433,collaboration
1,3,7,myTime,4,455433,collaboration
1,3,7,othersTime,2,455433,collaboration
1,3,7,allTime,2,455433,collaboration
1,3,8,myTags,5,579652,collaboration
1,3,8,othersTags,4,579652,collaboration
1,3,8,allTags,5,579652,collaboration
1,3,8,myTime,5,579652,collaboration
1,3,8,othersTime,5,579652,collaboration
1,3,8,allTime,6,579652,collaboration
2,4,1,myTags,1,18226,collaboration
2,4,1,othersTags,1,18226,collaboration
2,4,1,allTags,1,18226,collaboration
2,4,1,myTime,6,18226,collaboration
2,4,1,othersTime,1,18226,collaboration
2,4,1,allTime,6,18226,collaboration
2,4,2,myTags,6,174909,collaboration
2,4,2,othersTags,1,174909,collaboration
2,4,2,allTags,5,174909,collaboration
2,4,2,myTime,6,174909,collaboration
2,4,2,othersTime,1,174909,collaboration
2,4,2,allTime,6,174909,collaboration
2,4,3,myTags,1,200007,collaboration
2,4,3,othersTags,5,200007,collaboration
2,4,3,allTags,5,200007,collaboration
2,4,3,myTime,5,200007,collaboration
2,4,3,othersTime,6,200007,collaboration
2,4,3,allTime,5,200007,collaboration
2,4,4,myTags,1,241233,collaboration
2,4,4,othersTags,4,241233,collaboration
2,4,4,allTags,3,241233,collaboration
2,4,4,myTime,5,241233,collaboration
2,4,4,othersTime,4,241233,collaboration
2,4,4,allTime,3,241233,collaboration
2,4,5,myTags,5,289489,collaboration
2,4,5,othersTags,1,289489,collaboration
2,4,5,allTags,1,289489,collaboration
2,4,5,myTime,5,289489,collaboration
2,4,5,othersTime,2,289489,collaboration
2,4,5,allTime,2,289489,collaboration
2,4,6,myTags,5,309622,collaboration
2,4,6,othersTags,1,309622,collaboration
2,4,6,allTags,1,309622,collaboration
2,4,6,myTime,5,309622,collaboration
2,4,6,othersTime,2,309622,collaboration
